Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"MIR17","MicroRNA 17","RNA Gene","19","GC13P091350","23.4","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR17"
"OPRM1","Opioid Receptor Mu 1","Protein Coding","49","GC06P154075","23.37","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPRM1"
"CD40LG","CD40 Ligand","Protein Coding","47","GC0XP136649","23.25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40LG"
"ELN","Elastin","Protein Coding","44","GC07P074027","23.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELN"
"FBN1","Fibrillin 1","Protein Coding","45","GC15M048408","23.13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBN1"
"SCN10A","Sodium Voltage-Gated Channel Alpha Subunit 10","Protein Coding","46","GC03M038713","23.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN10A"
"TTR","Transthyretin","Protein Coding","49","GC18P031557","22.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTR"
"MIR155","MicroRNA 155","RNA Gene","16","GC21P025573","22.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155"
"TH","Tyrosine Hydroxylase","Protein Coding","52","GC11M002163","22.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TH"
"VHL","Von Hippel-Lindau Tumor Suppressor","Protein Coding","46","GC03P010205","22.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VHL"
"CDKN2B","Cyclin Dependent Kinase Inhibitor 2B","Protein Coding","47","GC09M022002","22.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B"
"NOS2","Nitric Oxide Synthase 2","Protein Coding","49","GC17M027756","22.27","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS2"
"DES","Desmin","Protein Coding","47","GC02P219418","22.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DES"
"TNFRSF11B","TNF Receptor Superfamily Member 11b","Protein Coding","47","GC08M118923","22.08","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF11B"
"SDHB","Succinate Dehydrogenase Complex Iron Sulfur Subunit B","Protein Coding","47","GC01M017020","22.08","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHB"
"BDNF","Brain Derived Neurotrophic Factor","Protein Coding","47","GC11M027654","22.05","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
"PMP22","Peripheral Myelin Protein 22","Protein Coding","41","GC17M015229","22.03","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PMP22"
"MIR223","MicroRNA 223","RNA Gene","19","GC0XP066018","21.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR223"
"PLG","Plasminogen","Protein Coding","48","GC06P160702","21.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLG"
"MIR145","MicroRNA 145","RNA Gene","20","GC05P149430","21.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR145"
"MIR34A","MicroRNA 34a","RNA Gene","20","GC01M009151","21.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34A"
"SCN1A-AS1","SCN1A And SCN9A Antisense RNA 1","RNA Gene","10","GC02P165959","21.67","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN1A-AS1"
"ACTA2","Actin Alpha 2, Smooth Muscle","Protein Coding","47","GC10M088935","21.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTA2"
"MIR150","MicroRNA 150","RNA Gene","20","GC19M049500","21.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR150"
"MMP9","Matrix Metallopeptidase 9","Protein Coding","53","GC20P046008","21.62","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9"
"ENG","Endoglin","Protein Coding","46","GC09M127815","21.49","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENG"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","51","GC22M021754","21.48","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"PRTN3","Proteinase 3","Protein Coding","45","GC19P000840","21.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRTN3"
"TRPV1","Transient Receptor Potential Cation Channel Subfamily V Member 1","Protein Coding","46","GC17M003565","21.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPV1"
"TREX1","Three Prime Repair Exonuclease 1","Protein Coding","42","GC03P048466","21.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TREX1"
"CASP8","Caspase 8","Protein Coding","52","GC02P201233","21.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"MIR221","MicroRNA 221","RNA Gene","19","GC0XM045746","21.07","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR221"
"MIR142","MicroRNA 142","RNA Gene","17","GC17M058331","20.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR142"
"PRKAR1A","Protein Kinase CAMP-Dependent Type I Regulatory Subunit Alpha","Protein Coding","52","GC17P068414","20.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAR1A"
"KNG1","Kininogen 1","Protein Coding","43","GC03P186717","20.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KNG1"
"SDHD","Succinate Dehydrogenase Complex Subunit D","Protein Coding","43","GC11P112087","20.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHD"
"FGFR1","Fibroblast Growth Factor Receptor 1","Protein Coding","55","GC08M038400","20.86","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGFR1"
"CASR","Calcium Sensing Receptor","Protein Coding","50","GC03P122183","20.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASR"
"MPZ","Myelin Protein Zero","Protein Coding","44","GC01M161304","20.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPZ"
"TNFRSF1A","TNF Receptor Superfamily Member 1A","Protein Coding","49","GC12M006328","20.75","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1A"
"LDLR","Low Density Lipoprotein Receptor","Protein Coding","49","GC19P011061","20.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDLR"
"IL1RN","Interleukin 1 Receptor Antagonist","Protein Coding","48","GC02P114906","20.48","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RN"
"TYMP","Thymidine Phosphorylase","Protein Coding","46","GC22M050525","20.43","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYMP"
"POMC","Proopiomelanocortin","Protein Coding","49","GC02M025160","20.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POMC"
"SMAD3","SMAD Family Member 3","Protein Coding","48","GC15P067063","20.39","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD3"
"APOB","Apolipoprotein B","Protein Coding","45","GC02M020956","20.35","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOB"
"GNAS","GNAS Complex Locus","Protein Coding","50","GC20P058839","20.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAS"
"APOA1","Apolipoprotein A1","Protein Coding","49","GC11M116835","19.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA1"
"TSC2","TSC Complex Subunit 2","Protein Coding","49","GC16P002385","19.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2"
"ABCA1","ATP Binding Cassette Subfamily A Member 1","Protein Coding","47","GC09M104781","19.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCA1"
"HLA-B","Major Histocompatibility Complex, Class I, B","Protein Coding","45","GC06M031289","19.75","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B"
"HLA-DRB1","Major Histocompatibility Complex, Class II, DR Beta 1","Protein Coding","46","GC06M032578","19.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1"
"TNFRSF11A","TNF Receptor Superfamily Member 11a","Protein Coding","46","GC18P062325","19.44","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF11A"
"LRP5","LDL Receptor Related Protein 5","Protein Coding","49","GC11P068298","19.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP5"
"ATP7B","ATPase Copper Transporting Beta","Protein Coding","47","GC13M051905","19.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP7B"
"MIR143","MicroRNA 143","RNA Gene","20","GC05P149410","19.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR143"
"TOR1A","Torsin Family 1 Member A","Protein Coding","43","GC09M129812","19.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOR1A"
"EDN1","Endothelin 1","Protein Coding","47","GC06P012290","19.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDN1"
"FOS","Fos Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","50","GC14P075278","19.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOS"
"IL17A","Interleukin 17A","Protein Coding","42","GC06P052186","19.13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17A"
"CRLF1","Cytokine Receptor Like Factor 1","Protein Coding","41","GC19M018568","19.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRLF1"
"MIR483","MicroRNA 483","RNA Gene","17","GC11M002178","19.06","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR483"
"TGFBR1","Transforming Growth Factor Beta Receptor 1","Protein Coding","53","GC09P099104","19.04","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFBR1"
"PON1","Paraoxonase 1","Protein Coding","46","GC07M095297","19","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PON1"
"GLA","Galactosidase Alpha","Protein Coding","49","GC0XM101397","18.86","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLA"
"MIR140","MicroRNA 140","RNA Gene","19","GC16P069934","18.75","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR140"
"PTGS1","Prostaglandin-Endoperoxide Synthase 1","Protein Coding","46","GC09P122370","18.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS1"
"IL4","Interleukin 4","Protein Coding","46","GC05P132673","18.67","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","49","GC12M102395","18.5","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"NFE2L2","Nuclear Factor, Erythroid 2 Like 2","Protein Coding","47","GC02M177227","18.34","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2"
"SMARCB1","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily B, Member 1","Protein Coding","45","GC22P023786","18.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCB1"
"TSC1","TSC Complex Subunit 1","Protein Coding","48","GC09M132891","18.27","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC1"
"CTSK","Cathepsin K","Protein Coding","49","GC01M150796","18.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSK"
"EDNRB","Endothelin Receptor Type B","Protein Coding","49","GC13M077895","18.25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDNRB"
"MIR27A","MicroRNA 27a","RNA Gene","20","GC19M013987","18.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR27A"
"NOTCH3","Notch Receptor 3","Protein Coding","49","GC19M015159","18","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH3"
"MEFV","MEFV Innate Immuity Regulator, Pyrin","Protein Coding","43","GC16M003259","17.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEFV"
"AGTR1","Angiotensin II Receptor Type 1","Protein Coding","50","GC03P148697","17.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR1"
"CCK","Cholecystokinin","Protein Coding","41","GC03M042274","17.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCK"
"TLR5","Toll Like Receptor 5","Protein Coding","47","GC01M223109","17.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR5"
"MIR22","MicroRNA 22","RNA Gene","17","GC17M001713","17.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR22"
"MIR181A1","MicroRNA 181a-1","RNA Gene","17","GC01M198860","17.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR181A1"
"ITGAM","Integrin Subunit Alpha M","Protein Coding","46","GC16P031420","17.67","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAM"
"ANTXR2","ANTXR Cell Adhesion Molecule 2","Protein Coding","46","GC04M079901","17.56","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANTXR2"
"CD4","CD4 Molecule","Protein Coding","50","GC12P006786","17.55","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD4"
"IL18","Interleukin 18","Protein Coding","44","GC11M112143","17.49","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL18"
"MIR200B","MicroRNA 200b","RNA Gene","18","GC01P001167","17.45","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR200B"
"DRD4","Dopamine Receptor D4","Protein Coding","46","GC11P000669","17.4","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD4"
"CYP17A1","Cytochrome P450 Family 17 Subfamily A Member 1","Protein Coding","49","GC10M102830","17.36","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP17A1"
"SST","Somatostatin","Protein Coding","42","GC03M187668","17.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SST"
"MMP3","Matrix Metallopeptidase 3","Protein Coding","51","GC11M102835","17.27","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP3"
"MIR214","MicroRNA 214","RNA Gene","17","GC01M172229","17.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR214"
"EP300","E1A Binding Protein P300","Protein Coding","50","GC22P041091","17.22","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EP300"
"SEPTIN9","Septin 9","Protein Coding","35","GC17P077282","17.15","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEPTIN9"
"NOS1","Nitric Oxide Synthase 1","Protein Coding","49","GC12M117208","17.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS1"
"MIR144","MicroRNA 144","RNA Gene","14","GC17M029703","17.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR144"
"FGF2","Fibroblast Growth Factor 2","Protein Coding","47","GC04P122826","16.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF2"
"MYH11","Myosin Heavy Chain 11","Protein Coding","46","GC16M015704","16.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYH11"
"HBB","Hemoglobin Subunit Beta","Protein Coding","45","GC11M005334","16.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBB"
"LEP","Leptin","Protein Coding","47","GC07P128241","16.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP"
"TEK","TEK Receptor Tyrosine Kinase","Protein Coding","50","GC09P027109","16.85","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TEK"
"MIR23B","MicroRNA 23b","RNA Gene","18","GC09P095085","16.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR23B"
"KRT10","Keratin 10","Protein Coding","42","GC17M040818","16.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT10"
"CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","51","GC09M021967","16.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A"
"SDHC","Succinate Dehydrogenase Complex Subunit C","Protein Coding","45","GC01P161314","16.7","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHC"
"MIF","Macrophage Migration Inhibitory Factor","Protein Coding","49","GC22P023894","16.7","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIF"
"CDK5","Cyclin Dependent Kinase 5","Protein Coding","52","GC07M151053","16.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK5"
"CDKN2C","Cyclin Dependent Kinase Inhibitor 2C","Protein Coding","46","GC01P050960","16.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2C"
"CSF2","Colony Stimulating Factor 2","Protein Coding","44","GC05P132073","16.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF2"
"DRD2","Dopamine Receptor D2","Protein Coding","50","GC11M113409","16.47","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD2"
"MIRLET7D","MicroRNA Let-7d","RNA Gene","19","GC09P094178","16.45","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIRLET7D"
"MMP14","Matrix Metallopeptidase 14","Protein Coding","51","GC14P025005","16.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP14"
"TRPA1","Transient Receptor Potential Cation Channel Subfamily A Member 1","Protein Coding","45","GC08M072019","16.37","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPA1"
"HTR2A","5-Hydroxytryptamine Receptor 2A","Protein Coding","47","GC13M046831","16.35","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR2A"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","50","GC10P088969","16.25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"CCND1","Cyclin D1","Protein Coding","52","GC11P069641","16.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1"
"SRPX2","Sushi Repeat Containing Protein X-Linked 2","Protein Coding","40","GC0XP100648","16.16","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRPX2"
