Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"MMP9","Matrix Metallopeptidase 9","Protein Coding","53","GC20P046008","10.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9"
"PTGS2","Prostaglandin-Endoperoxide Synthase 2","Protein Coding","48","GC01M186640","10.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2"
"MMP2","Matrix Metallopeptidase 2","Protein Coding","53","GC16P055390","10.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2"
"EGF","Epidermal Growth Factor","Protein Coding","51","GC04P109912","10.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGF"
"ERBB2","Erb-B2 Receptor Tyrosine Kinase 2","Protein Coding","54","GC17P039687","10.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB2"
"MIR125A","MicroRNA 125a","RNA Gene","19","GC19P051723","10.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125A"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","49","GC12M102395","10.19","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"IL10","Interleukin 10","Protein Coding","47","GC01M206767","10.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"CCND1","Cyclin D1","Protein Coding","52","GC11P069641","9.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1"
"NAPB","NSF Attachment Protein Beta","Protein Coding","38","GC20M023374","9.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAPB"
"IGF1R","Insulin Like Growth Factor 1 Receptor","Protein Coding","54","GC15P098648","9.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1R"
"NFKB1","Nuclear Factor Kappa B Subunit 1","Protein Coding","53","GC04P102501","9.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1"
"ALB","Albumin","Protein Coding","50","GC04P073397","9.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","52","GC03P179148","9.67","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA"
"TGOLN2","Trans-Golgi Network Protein 2","Protein Coding","37","GC02M085318","9.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGOLN2"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","53","GC03P012287","9.58","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"IL2","Interleukin 2","Protein Coding","46","GC04M122451","9.46","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2"
"MIR30E","MicroRNA 30e","RNA Gene","19","GC01P040754","9.22","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30E"
"FOXM1","Forkhead Box M1","Protein Coding","44","GC12M002857","9.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXM1"
"KIT","KIT Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","53","GC04P054657","8.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT"
"CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","42","GC04P073740","8.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"IL1B","Interleukin 1 Beta","Protein Coding","49","GC02M112829","8.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"TLR4","Toll Like Receptor 4","Protein Coding","50","GC09P117704","8.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR4"
"DES","Desmin","Protein Coding","47","GC02P219418","8.75","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DES"
"MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","47","GC01M011785","8.75","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR"
"CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","51","GC09M021967","8.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A"
"SMAD3","SMAD Family Member 3","Protein Coding","48","GC15P067063","8.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD3"
"U2AF1","U2 Small Nuclear RNA Auxiliary Factor 1","Protein Coding","41","GC21M043092","8.7","https://www.genecards.org/cgi-bin/carddisp.pl?gene=U2AF1"
"MUC1","Mucin 1, Cell Surface Associated","Protein Coding","47","GC01M155185","8.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC1"
"CASP3","Caspase 3","Protein Coding","50","GC04M184627","8.59","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3"
"DICER1","Dicer 1, Ribonuclease III","Protein Coding","47","GC14M095086","8.56","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DICER1"
"HRAS","HRas Proto-Oncogene, GTPase","Protein Coding","52","GC11M000522","8.53","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS"
"BRCA2","BRCA2 DNA Repair Associated","Protein Coding","49","GC13P032315","8.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA2"
"NOTCH1","Notch Receptor 1","Protein Coding","51","GC09M136582","8.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH1"
"JUN","Jun Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","49","GC01M058780","8.48","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN"
"GAPDH","Glyceraldehyde-3-Phosphate Dehydrogenase","Protein Coding","48","GC12P006630","8.37","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAPDH"
"CXCL12","C-X-C Motif Chemokine Ligand 12","Protein Coding","45","GC10M044370","8.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL12"
"YAP1","Yes Associated Protein 1","Protein Coding","47","GC11P102110","8.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YAP1"
"RB1","RB Transcriptional Corepressor 1","Protein Coding","49","GC13P048303","8.25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RB1"
"BRCA1","BRCA1 DNA Repair Associated","Protein Coding","50","GC17M043044","8.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1"
"SYP","Synaptophysin","Protein Coding","43","GC0XM049187","8.22","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYP"
"MIR146A","MicroRNA 146a","RNA Gene","21","GC05P160485","8.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A"
"MDM2","MDM2 Proto-Oncogene","Protein Coding","53","GC12P068808","8.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MDM2"
"SMAD4","SMAD Family Member 4","Protein Coding","50","GC18P051028","8.15","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD4"
"ESR2","Estrogen Receptor 2","Protein Coding","49","GC14M064084","8.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESR2"
"HIF1A","Hypoxia Inducible Factor 1 Subunit Alpha","Protein Coding","47","GC14P061695","8.11","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A"
"ENO2","Enolase 2","Protein Coding","47","GC12P006913","8.11","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENO2"
"MMP14","Matrix Metallopeptidase 14","Protein Coding","51","GC14P025005","8.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP14"
"CDK4","Cyclin Dependent Kinase 4","Protein Coding","54","GC12M057743","8.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4"
"MMP3","Matrix Metallopeptidase 3","Protein Coding","51","GC11M102835","7.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP3"
"AR","Androgen Receptor","Protein Coding","53","GC0XP067544","7.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR"
"CRP","C-Reactive Protein","Protein Coding","46","GC01M159715","7.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"MIR199A1","MicroRNA 199a-1","RNA Gene","17","GC19M010792","7.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR199A1"
"VEGFC","Vascular Endothelial Growth Factor C","Protein Coding","47","GC04M176683","7.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFC"
"RPS6KB1","Ribosomal Protein S6 Kinase B1","Protein Coding","49","GC17P059893","7.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KB1"
"MMP1","Matrix Metallopeptidase 1","Protein Coding","52","GC11M102810","7.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP1"
"CHEK2","Checkpoint Kinase 2","Protein Coding","53","GC22M028687","7.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHEK2"
"INS","Insulin","Protein Coding","48","GC11M002159","7.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"APC","APC Regulator Of WNT Signaling Pathway","Protein Coding","48","GC05P112707","7.76","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APC"
"GATA6","GATA Binding Protein 6","Protein Coding","47","GC18P022169","7.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA6"
"MIR483","MicroRNA 483","RNA Gene","17","GC11M002178","7.67","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR483"
"BCL2","BCL2 Apoptosis Regulator","Protein Coding","52","GC18M063123","7.6","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2"
"LEP","Leptin","Protein Coding","47","GC07P128241","7.57","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP"
"PGR","Progesterone Receptor","Protein Coding","50","GC11M100943","7.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGR"
"SPP1","Secreted Phosphoprotein 1","Protein Coding","46","GC04P087975","7.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPP1"
"MIR30A","MicroRNA 30a","RNA Gene","17","GC06M071403","7.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR30A"
"FOXP3","Forkhead Box P3","Protein Coding","46","GC0XM049250","7.47","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP3"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","25","GC11M001995","7.44","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"NCAM1","Neural Cell Adhesion Molecule 1","Protein Coding","46","GC11P112961","7.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCAM1"
"SST","Somatostatin","Protein Coding","42","GC03M187668","7.39","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SST"
"TP63","Tumor Protein P63","Protein Coding","47","GC03P189566","7.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP63"
"MIR144","MicroRNA 144","RNA Gene","14","GC17M029703","7.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR144"
"MIR17","MicroRNA 17","RNA Gene","19","GC13P091350","7.28","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR17"
"IL17A","Interleukin 17A","Protein Coding","42","GC06P052186","7.27","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17A"
"SMARCB1","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily B, Member 1","Protein Coding","45","GC22P023786","7.27","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCB1"
"BIRC5","Baculoviral IAP Repeat Containing 5","Protein Coding","46","GC17P078214","7.25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BIRC5"
"MIR155","MicroRNA 155","RNA Gene","16","GC21P025573","7.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155"
"SRC","SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase","Protein Coding","52","GC20P037344","7.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRC"
"PAX6","Paired Box 6","Protein Coding","47","GC11M031784","7.22","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX6"
"ADIPOQ","Adiponectin, C1Q And Collagen Domain Containing","Protein Coding","45","GC03P186842","7.22","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOQ"
"CD34","CD34 Molecule","Protein Coding","44","GC01M207880","7.16","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD34"
"EP300","E1A Binding Protein P300","Protein Coding","50","GC22P041091","7.15","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EP300"
"BAX","BCL2 Associated X, Apoptosis Regulator","Protein Coding","48","GC19P048954","7.15","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAX"
"CDH1","Cadherin 1","Protein Coding","50","GC16P068737","7.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH1"
"MIR214","MicroRNA 214","RNA Gene","17","GC01M172229","7.05","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR214"
"MIR150","MicroRNA 150","RNA Gene","20","GC19M049500","7.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR150"
"CDC73","Cell Division Cycle 73","Protein Coding","45","GC01P193090","6.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC73"
"IFNG","Interferon Gamma","Protein Coding","48","GC12M068064","6.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG"
"KRT7","Keratin 7","Protein Coding","42","GC12P052232","6.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT7"
"PTPRC","Protein Tyrosine Phosphatase Receptor Type C","Protein Coding","51","GC01P198607","6.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPRC"
"MIR27A","MicroRNA 27a","RNA Gene","20","GC19M013987","6.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR27A"
"FOS","Fos Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","50","GC14P075278","6.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOS"
"RELA","RELA Proto-Oncogene, NF-KB Subunit","Protein Coding","50","GC11M065653","6.76","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELA"
"NF1","Neurofibromin 1","Protein Coding","48","GC17P031007","6.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1"
"TIMP1","TIMP Metallopeptidase Inhibitor 1","Protein Coding","45","GC0XP047583","6.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP1"
"CASP8","Caspase 8","Protein Coding","52","GC02P201233","6.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"STAT1","Signal Transducer And Activator Of Transcription 1","Protein Coding","53","GC02M190964","6.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT1"
"TERT","Telomerase Reverse Transcriptase","Protein Coding","52","GC05M001253","6.7","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT"
"MEN1","Menin 1","Protein Coding","46","GC11M064803","6.7","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEN1"
"TYMP","Thymidine Phosphorylase","Protein Coding","46","GC22M050525","6.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYMP"
"H2AC18","H2A Clustered Histone 18","Protein Coding","26","GC01M149914","6.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2AC18"
"MIR223","MicroRNA 223","RNA Gene","19","GC0XP066018","6.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR223"
"TP73","Tumor Protein P73","Protein Coding","46","GC01P003652","6.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP73"
"EZH2","Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit","Protein Coding","53","GC07M148807","6.6","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EZH2"
"TRIM28","Tripartite Motif Containing 28","Protein Coding","43","GC19P058544","6.59","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM28"
"APOE","Apolipoprotein E","Protein Coding","50","GC19P044906","6.58","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"TIMP2","TIMP Metallopeptidase Inhibitor 2","Protein Coding","44","GC17M078852","6.58","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP2"
"PECAM1","Platelet And Endothelial Cell Adhesion Molecule 1","Protein Coding","40","GC17M064319","6.58","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PECAM1"
"VHL","Von Hippel-Lindau Tumor Suppressor","Protein Coding","46","GC03P010205","6.56","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VHL"
"CHGA","Chromogranin A","Protein Coding","42","GC14P092923","6.55","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHGA"
"CDK1","Cyclin Dependent Kinase 1","Protein Coding","46","GC10P060772","6.55","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK1"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","53","GC11P108222","6.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"PTK2","Protein Tyrosine Kinase 2","Protein Coding","47","GC08M140657","6.47","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTK2"
"RASA1","RAS P21 Protein Activator 1","Protein Coding","47","GC05P087267","6.43","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RASA1"
"HNF4A","Hepatocyte Nuclear Factor 4 Alpha","Protein Coding","50","GC20P044355","6.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF4A"
"THBD","Thrombomodulin","Protein Coding","44","GC20M023026","6.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THBD"
"PDGFA","Platelet Derived Growth Factor Subunit A","Protein Coding","44","GC07M000497","6.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFA"
"CDK2","Cyclin Dependent Kinase 2","Protein Coding","53","GC12P055966","6.38","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK2"
"SIRT1","Sirtuin 1","Protein Coding","49","GC10P067884","6.38","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT1"
"ERBB3","Erb-B2 Receptor Tyrosine Kinase 3","Protein Coding","53","GC12P056086","6.34","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBB3"
"MIR205","MicroRNA 205","RNA Gene","17","GC01P209432","6.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR205"
"KRT10","Keratin 10","Protein Coding","42","GC17M040818","6.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRT10"
"IFNB1","Interferon Beta 1","Protein Coding","41","GC09M021077","6.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNB1"
"TSC2","TSC Complex Subunit 2","Protein Coding","49","GC16P002385","6.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC2"
"STK11","Serine/Threonine Kinase 11","Protein Coding","49","GC19P001177","6.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK11"
"CCN2","Cellular Communication Network Factor 2","Protein Coding","39","GC06M131948","6.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN2"
"LINC01194","Long Intergenic Non-Protein Coding RNA 1194","RNA Gene","16","GC05P012578","6.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01194"
"HSP90AA1","Heat Shock Protein 90 Alpha Family Class A Member 1","Protein Coding","48","GC14M102080","6.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AA1"
"NF2","Neurofibromin 2","Protein Coding","49","GC22P029603","6.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF2"
"BCL6","BCL6 Transcription Repressor","Protein Coding","45","GC03M187721","6.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL6"
"MAPK3","Mitogen-Activated Protein Kinase 3","Protein Coding","49","GC16M030117","6.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK3"
"NR5A1","Nuclear Receptor Subfamily 5 Group A Member 1","Protein Coding","49","GC09M124481","6.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR5A1"
"MIR23B","MicroRNA 23b","RNA Gene","18","GC09P095085","6.19","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR23B"
"CXCR4","C-X-C Motif Chemokine Receptor 4","Protein Coding","52","GC02M136114","6.19","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR4"
"GNRH1","Gonadotropin Releasing Hormone 1","Protein Coding","42","GC08M025419","6.18","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNRH1"
"AURKA","Aurora Kinase A","Protein Coding","50","GC20M056370","6.17","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AURKA"
"FURIN","Furin, Paired Basic Amino Acid Cleaving Enzyme","Protein Coding","47","GC15P090868","6.16","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FURIN"
"DNMT1","DNA Methyltransferase 1","Protein Coding","51","GC19M010133","6.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT1"
"MIR143","MicroRNA 143","RNA Gene","20","GC05P149410","6.13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR143"
"MET","MET Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","54","GC07P116672","6.13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET"
"CREBBP","CREB Binding Protein","Protein Coding","52","GC16M003726","6.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREBBP"
"MYCN","MYCN Proto-Oncogene, BHLH Transcription Factor","Protein Coding","47","GC02P015950","6.11","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYCN"
"CD8A","CD8a Molecule","Protein Coding","47","GC02M086784","6.08","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD8A"
"KDM1A","Lysine Demethylase 1A","Protein Coding","47","GC01P023019","6.06","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDM1A"
"IGF2BP2","Insulin Like Growth Factor 2 MRNA Binding Protein 2","Protein Coding","43","GC03M185643","6.05","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF2BP2"
"VEGFD","Vascular Endothelial Growth Factor D","Protein Coding","34","GC0XM015345","6.05","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFD"
"RTN4","Reticulon 4","Protein Coding","45","GC02M054934","6.04","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RTN4"
"POU5F1","POU Class 5 Homeobox 1","Protein Coding","47","GC06M031177","6.04","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU5F1"
"RHOA","Ras Homolog Family Member A","Protein Coding","46","GC03M049359","6.03","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHOA"
"VIM","Vimentin","Protein Coding","50","GC10P017227","6.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VIM"
"PRKCA","Protein Kinase C Alpha","Protein Coding","50","GC17P066302","6","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCA"
"SOX2","SRY-Box Transcription Factor 2","Protein Coding","46","GC03P181711","5.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX2"
"CDKN2C","Cyclin Dependent Kinase Inhibitor 2C","Protein Coding","46","GC01P050960","5.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2C"
"APP","Amyloid Beta Precursor Protein","Protein Coding","51","GC21M025880","5.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APP"
