Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"TGFB1","Transforming Growth Factor Beta 1","Protein Coding","52","GC19M041301","37.35","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1"
"BRCA1","BRCA1 DNA Repair Associated","Protein Coding","50","GC17M043044","37.13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1"
"FOXP3","Forkhead Box P3","Protein Coding","46","GC0XM049250","36.53","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP3"
"FANCL","FA Complementation Group L","Protein Coding","44","GC02M058127","36.47","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCL"
"RAD51C","RAD51 Paralog C","Protein Coding","43","GC17P058692","35.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51C"
"FANCB","FA Complementation Group B","Protein Coding","40","GC0XM014796","35.58","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FANCB"
"RAD51","RAD51 Recombinase","Protein Coding","51","GC15P040694","35.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD51"
"ALAS2","5'-Aminolevulinate Synthase 2","Protein Coding","45","GC0XM055009","35.49","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALAS2"
"IL10","Interleukin 10","Protein Coding","47","GC01M206767","35.03","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10"
"RPS19","Ribosomal Protein S19","Protein Coding","47","GC19P041859","34.7","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS19"
"GATA1","GATA Binding Protein 1","Protein Coding","46","GC0XP048786","33.03","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA1"
"PALB2","Partner And Localizer Of BRCA2","Protein Coding","42","GC16M023603","32.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PALB2"
"CTLA4","Cytotoxic T-Lymphocyte Associated Protein 4","Protein Coding","46","GC02P203867","32.04","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTLA4"
"STAT1","Signal Transducer And Activator Of Transcription 1","Protein Coding","53","GC02M190964","31.27","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT1"
"STAT3","Signal Transducer And Activator Of Transcription 3","Protein Coding","53","GC17M042313","31.25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3"
"PIEZO1","Piezo Type Mechanosensitive Ion Channel Component 1","Protein Coding","37","GC16M088715","31.03","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIEZO1"
"MTR","5-Methyltetrahydrofolate-Homocysteine Methyltransferase","Protein Coding","46","GC01P236795","30.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTR"
"F2","Coagulation Factor II, Thrombin","Protein Coding","48","GC11P046720","30.49","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2"
"TFRC","Transferrin Receptor","Protein Coding","49","GC03M196027","29.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFRC"
"CUBN","Cubilin","Protein Coding","46","GC10M016824","28.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CUBN"
"INS","Insulin","Protein Coding","48","GC11M002159","28.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"SEC23B","SEC23 Homolog B, COPII Coat Complex Component","Protein Coding","42","GC20P018507","28.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEC23B"
"ATRX","ATRX Chromatin Remodeler","Protein Coding","46","GC0XM077504","27.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATRX"
"ADA","Adenosine Deaminase","Protein Coding","50","GC20M044620","27.76","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADA"
"SLC19A2","Solute Carrier Family 19 Member 2","Protein Coding","46","GC01M169463","27.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC19A2"
"CDAN1","Codanin 1","Protein Coding","39","GC15M042723","27.51","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDAN1"
"THBD","Thrombomodulin","Protein Coding","44","GC20M023026","27.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THBD"
"HMOX1","Heme Oxygenase 1","Protein Coding","52","GC22P035380","27.29","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX1"
"ALB","Albumin","Protein Coding","50","GC04P073397","26.53","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB"
"RPL5","Ribosomal Protein L5","Protein Coding","47","GC01P092832","26.51","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL5"
"TMPRSS6","Transmembrane Serine Protease 6","Protein Coding","43","GC22M037066","26.44","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMPRSS6"
"HK1","Hexokinase 1","Protein Coding","51","GC10P069269","26.25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HK1"
"HBA1","Hemoglobin Subunit Alpha 1","Protein Coding","42","GC16P001212","26.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBA1"
"PRF1","Perforin 1","Protein Coding","45","GC10M070597","26.24","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRF1"
"TF","Transferrin","Protein Coding","49","GC03P133666","26.15","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TF"
"SLC4A1","Solute Carrier Family 4 Member 1 (Diego Blood Group)","Protein Coding","48","GC17M044264","26.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC4A1"
"MTRR","5-Methyltetrahydrofolate-Homocysteine Methyltransferase Reductase","Protein Coding","42","GC05P007851","25.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTRR"
"ICAM1","Intercellular Adhesion Molecule 1","Protein Coding","50","GC19P010270","25.86","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM1"
"HBA2","Hemoglobin Subunit Alpha 2","Protein Coding","42","GC16P001213","25.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBA2"
"ABCB7","ATP Binding Cassette Subfamily B Member 7","Protein Coding","43","GC0XM075053","25.38","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB7"
"CSF3","Colony Stimulating Factor 3","Protein Coding","41","GC17P040015","25.19","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF3"
"SLC25A38","Solute Carrier Family 25 Member 38","Protein Coding","38","GC03P039389","24.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A38"
"C3","Complement C3","Protein Coding","48","GC19M006677","24.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C3"
"CD19","CD19 Molecule","Protein Coding","49","GC16P028943","24.47","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD19"
"TERT","Telomerase Reverse Transcriptase","Protein Coding","52","GC05M001253","24.4","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT"
"UBE2T","Ubiquitin Conjugating Enzyme E2 T","Protein Coding","43","GC01M202300","24.38","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2T"
"KLF1","Kruppel Like Factor 1","Protein Coding","45","GC19M012884","24.19","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF1"
"CDKN1A","Cyclin Dependent Kinase Inhibitor 1A","Protein Coding","50","GC06P046057","23.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1A"
"SLC11A2","Solute Carrier Family 11 Member 2","Protein Coding","47","GC12M050979","23.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC11A2"
"HAMP","Hepcidin Antimicrobial Peptide","Protein Coding","42","GC19P037707","23.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAMP"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","53","GC10P087863","23.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"LCAT","Lecithin-Cholesterol Acyltransferase","Protein Coding","46","GC16M067939","23.43","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCAT"
"CRP","C-Reactive Protein","Protein Coding","46","GC01M159715","22.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"ERCC4","ERCC Excision Repair 4, Endonuclease Catalytic Subunit","Protein Coding","45","GC16P013920","22.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC4"
"NFE2L2","Nuclear Factor, Erythroid 2 Like 2","Protein Coding","47","GC02M177227","22.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2"
"AIRE","Autoimmune Regulator","Protein Coding","45","GC21P044285","22.37","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIRE"
"SPTB","Spectrin Beta, Erythrocytic","Protein Coding","41","GC14M064746","22.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPTB"
"YARS2","Tyrosyl-TRNA Synthetase 2","Protein Coding","43","GC12M032725","22.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YARS2"
"HP","Haptoglobin","Protein Coding","44","GC16P072089","22.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HP"
"SH2D1A","SH2 Domain Containing 1A","Protein Coding","46","GC0XP124227","21.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH2D1A"
"SDHB","Succinate Dehydrogenase Complex Iron Sulfur Subunit B","Protein Coding","47","GC01M017020","21.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDHB"
"PUS1","Pseudouridine Synthase 1","Protein Coding","42","GC12P131929","21.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PUS1"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","50","GC10P088969","21.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"RPS26","Ribosomal Protein S26","Protein Coding","42","GC12P056043","21.61","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS26"
"DAXX","Death Domain Associated Protein","Protein Coding","44","GC06M033318","21.55","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAXX"
"TERC","Telomerase RNA Component","RNA Gene","27","GC03M169765","21.44","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERC"
"RPS24","Ribosomal Protein S24","Protein Coding","42","GC10P078033","21.4","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS24"
"KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","50","GC12M025204","21.33","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS"
"RPL11","Ribosomal Protein L11","Protein Coding","47","GC01P023691","21.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL11"
"GATA2","GATA Binding Protein 2","Protein Coding","47","GC03M128479","20.79","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA2"
"VEGFA","Vascular Endothelial Growth Factor A","Protein Coding","49","GC06P043770","20.57","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA"
"KIT","KIT Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","53","GC04P054657","20.46","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIT"
"CSF2","Colony Stimulating Factor 2","Protein Coding","44","GC05P132073","20.39","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF2"
"ENG","Endoglin","Protein Coding","46","GC09M127815","20.33","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENG"
"MEN1","Menin 1","Protein Coding","46","GC11M064803","20.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEN1"
"NBN","Nibrin","Protein Coding","47","GC08M089933","20.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBN"
"TTR","Transthyretin","Protein Coding","49","GC18P031557","20","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTR"
"SPTA1","Spectrin Alpha, Erythrocytic 1","Protein Coding","45","GC01M158610","19.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPTA1"
"IL2","Interleukin 2","Protein Coding","46","GC04M122451","19.79","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2"
"HFE","Homeostatic Iron Regulator","Protein Coding","43","GC06P026087","19.79","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HFE"
"RPS10","Ribosomal Protein S10","Protein Coding","44","GC06M041274","19.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS10"
"GPI","Glucose-6-Phosphate Isomerase","Protein Coding","47","GC19P034359","19.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPI"
"RPL35A","Ribosomal Protein L35a","Protein Coding","44","GC03P197949","19.63","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL35A"
"ITGB3","Integrin Subunit Beta 3","Protein Coding","49","GC17P047254","19.61","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB3"
"MIR34A","MicroRNA 34a","RNA Gene","20","GC01M009151","19.51","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34A"
"HBG2","Hemoglobin Subunit Gamma 2","Protein Coding","42","GC11M005349","19.31","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBG2"
"ITGA2B","Integrin Subunit Alpha 2b","Protein Coding","50","GC17M044380","19.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA2B"
"GLRX5","Glutaredoxin 5","Protein Coding","40","GC14P095533","19.16","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLRX5"
"ELANE","Elastase, Neutrophil Expressed","Protein Coding","47","GC19P000854","19.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELANE"
"H2AC18","H2A Clustered Histone 18","Protein Coding","26","GC01M149914","19.07","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2AC18"
"JAK2","Janus Kinase 2","Protein Coding","54","GC09P004985","18.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK2"
"KMT2D","Lysine Methyltransferase 2D","Protein Coding","41","GC12M049018","18.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KMT2D"
"NF1","Neurofibromin 1","Protein Coding","48","GC17P031007","18.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1"
"GNAS","GNAS Complex Locus","Protein Coding","50","GC20P058839","18.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAS"
"TET2","Tet Methylcytosine Dioxygenase 2","Protein Coding","43","GC04P105145","18.63","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TET2"
"FECH","Ferrochelatase","Protein Coding","46","GC18M057544","18.5","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FECH"
"HLA-DRB1","Major Histocompatibility Complex, Class II, DR Beta 1","Protein Coding","46","GC06M032578","18.49","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DRB1"
"CD59","CD59 Molecule (CD59 Blood Group)","Protein Coding","46","GC11M033704","18.46","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD59"
"GP1BA","Glycoprotein Ib Platelet Subunit Alpha","Protein Coding","45","GC17P004932","18.45","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GP1BA"
"SPP1","Secreted Phosphoprotein 1","Protein Coding","46","GC04P087975","18.4","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPP1"
"FASLG","Fas Ligand","Protein Coding","47","GC01P172628","18.34","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASLG"
"THPO","Thrombopoietin","Protein Coding","42","GC03M184371","18.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THPO"
"RPS17","Ribosomal Protein S17","Protein Coding","42","GC15M082536","18.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS17"
"IL4","Interleukin 4","Protein Coding","46","GC05P132673","18.26","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4"
"WFS1","Wolframin ER Transmembrane Glycoprotein","Protein Coding","44","GC04P006271","18.25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WFS1"
"HBG1","Hemoglobin Subunit Gamma 1","Protein Coding","42","GC11M005340","18.25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBG1"
"CD34","CD34 Molecule","Protein Coding","44","GC01M207880","18.19","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD34"
"CXCL8","C-X-C Motif Chemokine Ligand 8","Protein Coding","42","GC04P073740","18.16","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL8"
"CASP8","Caspase 8","Protein Coding","52","GC02P201233","18.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"TPI1","Triosephosphate Isomerase 1","Protein Coding","47","GC12P006867","18","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPI1"
"RPS7","Ribosomal Protein S7","Protein Coding","42","GC02P003575","17.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS7"
"C15orf41","Chromosome 15 Open Reading Frame 41","Protein Coding","36","GC15P036579","17.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C15orf41"
"CBLIF","Cobalamin Binding Intrinsic Factor","Protein Coding","34","GC11M059829","17.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBLIF"
"CD55","CD55 Molecule (Cromer Blood Group)","Protein Coding","47","GC01P207321","17.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD55"
"ATP7B","ATPase Copper Transporting Beta","Protein Coding","47","GC13M051905","17.62","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP7B"
"VWF","Von Willebrand Factor","Protein Coding","48","GC12M005917","17.55","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VWF"
"ITGAM","Integrin Subunit Alpha M","Protein Coding","46","GC16P031420","17.5","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAM"
"FAAP100","FA Core Complex Associated Protein 100","Protein Coding","30","GC17M081540","17.3","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAAP100"
"IL1B","Interleukin 1 Beta","Protein Coding","49","GC02M112829","17.23","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1B"
"TRNT1","TRNA Nucleotidyl Transferase 1","Protein Coding","42","GC03P003126","17.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRNT1"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","49","GC12M102395","17.21","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"CDKN1B","Cyclin Dependent Kinase Inhibitor 1B","Protein Coding","49","GC12P012716","17.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B"
"TINF2","TERF1 Interacting Nuclear Factor 2","Protein Coding","40","GC14M024234","17.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TINF2"
"IREB2","Iron Responsive Element Binding Protein 2","Protein Coding","42","GC15P078437","17.17","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IREB2"
"AKT1","AKT Serine/Threonine Kinase 1","Protein Coding","54","GC14M104769","17.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT1"
"REN","Renin","Protein Coding","48","GC01M204154","17.05","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REN"
"APOA1","Apolipoprotein A1","Protein Coding","49","GC11M116835","17.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA1"
"NOS2","Nitric Oxide Synthase 2","Protein Coding","49","GC17M027756","16.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS2"
"DKC1","Dyskerin Pseudouridine Synthase 1","Protein Coding","46","GC0XP154762","16.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DKC1"
"CTNNB1","Catenin Beta 1","Protein Coding","53","GC03P041236","16.86","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTNNB1"
"MPL","MPL Proto-Oncogene, Thrombopoietin Receptor","Protein Coding","48","GC01P043337","16.75","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPL"
"HJV","Hemojuvelin BMP Co-Receptor","Protein Coding","35","GC01M146018","16.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HJV"
"VCAM1","Vascular Cell Adhesion Molecule 1","Protein Coding","46","GC01P100719","16.7","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCAM1"
"CD4","CD4 Molecule","Protein Coding","50","GC12P006786","16.59","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD4"
"HNF1A","HNF1 Homeobox A","Protein Coding","46","GC12P120978","16.57","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1A"
"DHFR","Dihydrofolate Reductase","Protein Coding","49","GC05M080626","16.55","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHFR"
"RPL26","Ribosomal Protein L26","Protein Coding","43","GC17M008377","16.48","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL26"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","52","GC08P127735","16.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"SF3B1","Splicing Factor 3b Subunit 1","Protein Coding","44","GC02M197389","16.35","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SF3B1"
"AMN","Amnion Associated Transmembrane Protein","Protein Coding","39","GC14P102922","16.25","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMN"
"STX11","Syntaxin 11","Protein Coding","41","GC06P144150","16.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STX11"
"EPB42","Erythrocyte Membrane Protein Band 4.2","Protein Coding","39","GC15M043200","16.04","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPB42"
"HBB-LCR","Beta-Globin Locus Control Region","Biological Region","5","GC11U902985","16.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBB-LCR"
"RPL15","Ribosomal Protein L15","Protein Coding","45","GC03P023960","15.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL15"
"FGF2","Fibroblast Growth Factor 2","Protein Coding","47","GC04P122826","15.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF2"
"RFWD3","Ring Finger And WD Repeat Domain 3","Protein Coding","40","GC16M074621","15.86","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RFWD3"
"MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","47","GC01M011785","15.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR"
"MIR146A","MicroRNA 146a","RNA Gene","21","GC05P160485","15.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A"
"ACVRL1","Activin A Receptor Like Type 1","Protein Coding","49","GC12P051906","15.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVRL1"
"ATM","ATM Serine/Threonine Kinase","Protein Coding","53","GC11P108222","15.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATM"
"MPO","Myeloperoxidase","Protein Coding","50","GC17M058269","15.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPO"
"MIR21","MicroRNA 21","RNA Gene","21","GC17P059841","15.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21"
"ALDOA","Aldolase, Fructose-Bisphosphate A","Protein Coding","48","GC16P030082","15.6","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALDOA"
"TFR2","Transferrin Receptor 2","Protein Coding","44","GC07M100620","15.49","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFR2"
"IL2RA","Interleukin 2 Receptor Subunit Alpha","Protein Coding","50","GC10M006010","15.47","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA"
"PGK1","Phosphoglycerate Kinase 1","Protein Coding","49","GC0XP077925","15.47","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGK1"
"SBDS","SBDS Ribosome Maturation Factor","Protein Coding","42","GC07M066987","15.46","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SBDS"
"AOPEP","Aminopeptidase O (Putative)","Protein Coding","30","GC09P094728","15.43","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AOPEP"
"RPS28","Ribosomal Protein S28","Protein Coding","39","GC19P008322","15.42","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS28"
"PIGA","Phosphatidylinositol Glycan Anchor Biosynthesis Class A","Protein Coding","44","GC0XM015319","15.41","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIGA"
"SERPINE1","Serpin Family E Member 1","Protein Coding","50","GC07P101127","15.39","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1"
"TSR2","TSR2 Ribosome Maturation Factor","Protein Coding","36","GC0XP054483","15.32","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSR2"
"STEAP3","STEAP3 Metalloreductase","Protein Coding","45","GC02P119222","14.99","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STEAP3"
"CDKN2B","Cyclin Dependent Kinase Inhibitor 2B","Protein Coding","47","GC09M022002","14.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B"
